source_id,source_kind,title,citation,source_path,source_url,evidence_layer,availability,evidence_strength,evidence_type,needs_manual_review,review_note,classification_rule
SRC-0126,local_text_citation,左联词典,左联词典 第192页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0127,local_text_citation,左联词典,左联词典 第212页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0128,local_text_citation,左联词典,左联词典 第239页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0129,local_text_citation,左联词典,左联词典 第200页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0130,local_text_citation,鲁迅日记,鲁迅日记 1936年7月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0131,local_text_citation,左联词典,左联词典 第145页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0132,local_text_citation,左联词典,左联词典 第157页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0133,local_text_citation,左联词典,左联词典 第169页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0134,local_text_citation,左联词典,左联词典 第198页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0135,local_text_citation,左联词典,左联词典 第109页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0136,local_text_citation,左联词典,左联词典 第162页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0137,local_text_citation,左联词典,左联词典 第190页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0138,local_text_citation,左联词典,左联词典 第247页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0139,local_text_citation,左联词典,左联词典 第155页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0140,local_text_citation,左联词典,左联词典 第227页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0141,local_text_citation,左联词典,左联词典 第114页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0142,local_text_citation,左联词典,左联词典 第156页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0143,local_text_citation,左联词典,左联词典 第158页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0144,local_text_citation,左联词典,左联词典 第219页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0145,local_text_citation,左联词典,左联词典 第228页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0146,local_text_citation,左联词典,左联词典 第262页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0147,local_text_citation,左联词典,左联词典 第263页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0148,local_text_citation,左联词典,左联词典 第278页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0149,local_text_citation,左联词典,左联词典 第252页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0150,local_text_citation,左联词典,左联词典 第331页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
